2026-09-18T15:59:06.581598Z	info	inpod::statemanager	pod received, starting proxy	uid="56160662-5827-40ab-8b73-ff89c5ac3476" name="auth-sim-ambient-d495ff57-x6k54" namespace="capacity-cascade-l11-ambient"
2026-09-18T15:59:11.017604Z	info	access	connection complete	src.addr=10.42.0.13:56902 dst.addr=10.42.0.12:8080 dst.service="auth-sim-ambient.capacity-cascade-l11-ambient.svc.cluster.local" dst.workload="auth-sim-ambient-d495ff57-x6k54" dst.namespace="capacity-cascade-l11-ambient" direction="inbound" bytes_sent=161 bytes_recv=150 duration="0ms"
2026-09-18T15:59:15.386904Z	info	access	connection complete	src.addr=10.42.0.14:58806 dst.addr=10.42.0.12:8080 dst.service="auth-sim-ambient.capacity-cascade-l11-ambient.svc.cluster.local" dst.workload="auth-sim-ambient-d495ff57-x6k54" dst.namespace="capacity-cascade-l11-ambient" direction="inbound" bytes_sent=320 bytes_recv=274 duration="251ms"
2026-09-18T15:59:15.435075Z	info	access	connection complete	src.addr=10.42.0.14:58820 dst.addr=10.42.0.12:8080 dst.service="auth-sim-ambient.capacity-cascade-l11-ambient.svc.cluster.local" dst.workload="auth-sim-ambient-d495ff57-x6k54" dst.namespace="capacity-cascade-l11-ambient" direction="inbound" bytes_sent=320 bytes_recv=274 duration="250ms"
2026-09-18T15:59:15.485107Z	info	access	connection complete	src.addr=10.42.0.14:58836 dst.addr=10.42.0.12:8080 dst.service="auth-sim-ambient.capacity-cascade-l11-ambient.svc.cluster.local" dst.workload="auth-sim-ambient-d495ff57-x6k54" dst.namespace="capacity-cascade-l11-ambient" direction="inbound" bytes_sent=320 bytes_recv=274 duration="251ms"
2026-09-18T15:59:15.534448Z	info	access	connection complete	src.addr=10.42.0.14:58838 dst.addr=10.42.0.12:8080 dst.service="auth-sim-ambient.capacity-cascade-l11-ambient.svc.cluster.local" dst.workload="auth-sim-ambient-d495ff57-x6k54" dst.namespace="capacity-cascade-l11-ambient" direction="inbound" bytes_sent=320 bytes_recv=274 duration="250ms"
2026-09-18T15:59:15.585861Z	info	access	connection complete	src.addr=10.42.0.14:58848 dst.addr=10.42.0.12:8080 dst.service="auth-sim-ambient.capacity-cascade-l11-ambient.svc.cluster.local" dst.workload="auth-sim-ambient-d495ff57-x6k54" dst.namespace="capacity-cascade-l11-ambient" direction="inbound" bytes_sent=320 bytes_recv=274 duration="251ms"
2026-09-18T15:59:15.635414Z	info	access	connection complete	src.addr=10.42.0.14:58858 dst.addr=10.42.0.12:8080 dst.service="auth-sim-ambient.capacity-cascade-l11-ambient.svc.cluster.local" dst.workload="auth-sim-ambient-d495ff57-x6k54" dst.namespace="capacity-cascade-l11-ambient" direction="inbound" bytes_sent=320 bytes_recv=274 duration="251ms"
2026-09-18T15:59:15.684626Z	info	access	connection complete	src.addr=10.42.0.14:58868 dst.addr=10.42.0.12:8080 dst.service="auth-sim-ambient.capacity-cascade-l11-ambient.svc.cluster.local" dst.workload="auth-sim-ambient-d495ff57-x6k54" dst.namespace="capacity-cascade-l11-ambient" direction="inbound" bytes_sent=320 bytes_recv=274 duration="251ms"
2026-09-18T15:59:15.734668Z	info	access	connection complete	src.addr=10.42.0.14:58880 dst.addr=10.42.0.12:8080 dst.service="auth-sim-ambient.capacity-cascade-l11-ambient.svc.cluster.local" dst.workload="auth-sim-ambient-d495ff57-x6k54" dst.namespace="capacity-cascade-l11-ambient" direction="inbound" bytes_sent=320 bytes_recv=274 duration="250ms"
2026-09-18T15:59:15.784751Z	info	access	connection complete	src.addr=10.42.0.14:58884 dst.addr=10.42.0.12:8080 dst.service="auth-sim-ambient.capacity-cascade-l11-ambient.svc.cluster.local" dst.workload="auth-sim-ambient-d495ff57-x6k54" dst.namespace="capacity-cascade-l11-ambient" direction="inbound" bytes_sent=320 bytes_recv=274 duration="250ms"
2026-09-18T15:59:15.835247Z	info	access	connection complete	src.addr=10.42.0.14:58890 dst.addr=10.42.0.12:8080 dst.service="auth-sim-ambient.capacity-cascade-l11-ambient.svc.cluster.local" dst.workload="auth-sim-ambient-d495ff57-x6k54" dst.namespace="capacity-cascade-l11-ambient" direction="inbound" bytes_sent=320 bytes_recv=274 duration="250ms"
2026-09-18T15:59:15.884287Z	info	access	connection complete	src.addr=10.42.0.14:58906 dst.addr=10.42.0.12:8080 dst.service="auth-sim-ambient.capacity-cascade-l11-ambient.svc.cluster.local" dst.workload="auth-sim-ambient-d495ff57-x6k54" dst.namespace="capacity-cascade-l11-ambient" direction="inbound" bytes_sent=322 bytes_recv=275 duration="250ms"
2026-09-18T15:59:15.935082Z	info	access	connection complete	src.addr=10.42.0.14:58918 dst.addr=10.42.0.12:8080 dst.service="auth-sim-ambient.capacity-cascade-l11-ambient.svc.cluster.local" dst.workload="auth-sim-ambient-d495ff57-x6k54" dst.namespace="capacity-cascade-l11-ambient" direction="inbound" bytes_sent=322 bytes_recv=275 duration="250ms"
