2026-09-18T16:02:33.089912Z	info	inpod::statemanager	pod received, starting proxy	uid="5f316b38-d1ff-4203-a3b9-58e19fac0e61" name="auth-sim-ambient-d495ff57-v9p86" namespace="capacity-cascade-l11-ambient"
2026-09-18T16:02:36.715151Z	info	access	connection complete	src.addr=10.42.0.13:59704 dst.addr=10.42.0.12:8080 dst.service="auth-sim-ambient.capacity-cascade-l11-ambient.svc.cluster.local" dst.workload="auth-sim-ambient-d495ff57-v9p86" dst.namespace="capacity-cascade-l11-ambient" direction="inbound" bytes_sent=161 bytes_recv=150 duration="0ms"
2026-09-18T16:02:41.890889Z	info	access	connection complete	src.addr=10.42.0.14:46182 dst.addr=10.42.0.12:8080 dst.service="auth-sim-ambient.capacity-cascade-l11-ambient.svc.cluster.local" dst.workload="auth-sim-ambient-d495ff57-v9p86" dst.namespace="capacity-cascade-l11-ambient" direction="inbound" bytes_sent=320 bytes_recv=274 duration="250ms"
2026-09-18T16:02:41.938497Z	info	access	connection complete	src.addr=10.42.0.14:46194 dst.addr=10.42.0.12:8080 dst.service="auth-sim-ambient.capacity-cascade-l11-ambient.svc.cluster.local" dst.workload="auth-sim-ambient-d495ff57-v9p86" dst.namespace="capacity-cascade-l11-ambient" direction="inbound" bytes_sent=320 bytes_recv=274 duration="250ms"
2026-09-18T16:02:41.989716Z	info	access	connection complete	src.addr=10.42.0.14:46204 dst.addr=10.42.0.12:8080 dst.service="auth-sim-ambient.capacity-cascade-l11-ambient.svc.cluster.local" dst.workload="auth-sim-ambient-d495ff57-v9p86" dst.namespace="capacity-cascade-l11-ambient" direction="inbound" bytes_sent=320 bytes_recv=274 duration="250ms"
2026-09-18T16:02:42.038974Z	info	access	connection complete	src.addr=10.42.0.14:46218 dst.addr=10.42.0.12:8080 dst.service="auth-sim-ambient.capacity-cascade-l11-ambient.svc.cluster.local" dst.workload="auth-sim-ambient-d495ff57-v9p86" dst.namespace="capacity-cascade-l11-ambient" direction="inbound" bytes_sent=320 bytes_recv=274 duration="251ms"
2026-09-18T16:02:42.089475Z	info	access	connection complete	src.addr=10.42.0.14:46226 dst.addr=10.42.0.12:8080 dst.service="auth-sim-ambient.capacity-cascade-l11-ambient.svc.cluster.local" dst.workload="auth-sim-ambient-d495ff57-v9p86" dst.namespace="capacity-cascade-l11-ambient" direction="inbound" bytes_sent=320 bytes_recv=274 duration="251ms"
2026-09-18T16:02:42.139014Z	info	access	connection complete	src.addr=10.42.0.14:46232 dst.addr=10.42.0.12:8080 dst.service="auth-sim-ambient.capacity-cascade-l11-ambient.svc.cluster.local" dst.workload="auth-sim-ambient-d495ff57-v9p86" dst.namespace="capacity-cascade-l11-ambient" direction="inbound" bytes_sent=320 bytes_recv=274 duration="250ms"
2026-09-18T16:02:42.190080Z	info	access	connection complete	src.addr=10.42.0.14:46242 dst.addr=10.42.0.12:8080 dst.service="auth-sim-ambient.capacity-cascade-l11-ambient.svc.cluster.local" dst.workload="auth-sim-ambient-d495ff57-v9p86" dst.namespace="capacity-cascade-l11-ambient" direction="inbound" bytes_sent=320 bytes_recv=274 duration="252ms"
2026-09-18T16:02:42.239275Z	info	access	connection complete	src.addr=10.42.0.14:46248 dst.addr=10.42.0.12:8080 dst.service="auth-sim-ambient.capacity-cascade-l11-ambient.svc.cluster.local" dst.workload="auth-sim-ambient-d495ff57-v9p86" dst.namespace="capacity-cascade-l11-ambient" direction="inbound" bytes_sent=320 bytes_recv=274 duration="251ms"
2026-09-18T16:02:42.289550Z	info	access	connection complete	src.addr=10.42.0.14:46252 dst.addr=10.42.0.12:8080 dst.service="auth-sim-ambient.capacity-cascade-l11-ambient.svc.cluster.local" dst.workload="auth-sim-ambient-d495ff57-v9p86" dst.namespace="capacity-cascade-l11-ambient" direction="inbound" bytes_sent=320 bytes_recv=274 duration="250ms"
2026-09-18T16:02:42.338780Z	info	access	connection complete	src.addr=10.42.0.14:46264 dst.addr=10.42.0.12:8080 dst.service="auth-sim-ambient.capacity-cascade-l11-ambient.svc.cluster.local" dst.workload="auth-sim-ambient-d495ff57-v9p86" dst.namespace="capacity-cascade-l11-ambient" direction="inbound" bytes_sent=320 bytes_recv=274 duration="250ms"
2026-09-18T16:02:42.389027Z	info	access	connection complete	src.addr=10.42.0.14:46272 dst.addr=10.42.0.12:8080 dst.service="auth-sim-ambient.capacity-cascade-l11-ambient.svc.cluster.local" dst.workload="auth-sim-ambient-d495ff57-v9p86" dst.namespace="capacity-cascade-l11-ambient" direction="inbound" bytes_sent=322 bytes_recv=275 duration="250ms"
2026-09-18T16:02:42.439382Z	info	access	connection complete	src.addr=10.42.0.14:46278 dst.addr=10.42.0.12:8080 dst.service="auth-sim-ambient.capacity-cascade-l11-ambient.svc.cluster.local" dst.workload="auth-sim-ambient-d495ff57-v9p86" dst.namespace="capacity-cascade-l11-ambient" direction="inbound" bytes_sent=322 bytes_recv=275 duration="251ms"
2026-09-18T16:02:42.488733Z	info	access	connection complete	src.addr=10.42.0.14:46280 dst.addr=10.42.0.12:8080 dst.service="auth-sim-ambient.capacity-cascade-l11-ambient.svc.cluster.local" dst.workload="auth-sim-ambient-d495ff57-v9p86" dst.namespace="capacity-cascade-l11-ambient" direction="inbound" bytes_sent=322 bytes_recv=275 duration="250ms"
2026-09-18T16:02:42.538807Z	info	access	connection complete	src.addr=10.42.0.14:46282 dst.addr=10.42.0.12:8080 dst.service="auth-sim-ambient.capacity-cascade-l11-ambient.svc.cluster.local" dst.workload="auth-sim-ambient-d495ff57-v9p86" dst.namespace="capacity-cascade-l11-ambient" direction="inbound" bytes_sent=322 bytes_recv=275 duration="250ms"
2026-09-18T16:02:42.589278Z	info	access	connection complete	src.addr=10.42.0.14:46298 dst.addr=10.42.0.12:8080 dst.service="auth-sim-ambient.capacity-cascade-l11-ambient.svc.cluster.local" dst.workload="auth-sim-ambient-d495ff57-v9p86" dst.namespace="capacity-cascade-l11-ambient" direction="inbound" bytes_sent=322 bytes_recv=275 duration="250ms"
2026-09-18T16:02:42.639945Z	info	access	connection complete	src.addr=10.42.0.14:46300 src.workload="l11-k6-ambient-ztunnel-h67q9" src.namespace="capacity-cascade-l11-load" dst.addr=10.42.0.12:8080 dst.service="auth-sim-ambient.capacity-cascade-l11-ambient.svc.cluster.local" dst.workload="auth-sim-ambient-d495ff57-v9p86" dst.namespace="capacity-cascade-l11-ambient" direction="inbound" bytes_sent=322 bytes_recv=275 duration="251ms"
2026-09-18T16:02:42.689291Z	info	access	connection complete	src.addr=10.42.0.14:46314 src.workload="l11-k6-ambient-ztunnel-h67q9" src.namespace="capacity-cascade-l11-load" dst.addr=10.42.0.12:8080 dst.service="auth-sim-ambient.capacity-cascade-l11-ambient.svc.cluster.local" dst.workload="auth-sim-ambient-d495ff57-v9p86" dst.namespace="capacity-cascade-l11-ambient" direction="inbound" bytes_sent=322 bytes_recv=275 duration="251ms"
2026-09-18T16:02:42.739468Z	info	access	connection complete	src.addr=10.42.0.14:46316 src.workload="l11-k6-ambient-ztunnel-h67q9" src.namespace="capacity-cascade-l11-load" dst.addr=10.42.0.12:8080 dst.service="auth-sim-ambient.capacity-cascade-l11-ambient.svc.cluster.local" dst.workload="auth-sim-ambient-d495ff57-v9p86" dst.namespace="capacity-cascade-l11-ambient" direction="inbound" bytes_sent=322 bytes_recv=275 duration="251ms"
2026-09-18T16:02:42.789728Z	info	access	connection complete	src.addr=10.42.0.14:46330 src.workload="l11-k6-ambient-ztunnel-h67q9" src.namespace="capacity-cascade-l11-load" dst.addr=10.42.0.12:8080 dst.service="auth-sim-ambient.capacity-cascade-l11-ambient.svc.cluster.local" dst.workload="auth-sim-ambient-d495ff57-v9p86" dst.namespace="capacity-cascade-l11-ambient" direction="inbound" bytes_sent=322 bytes_recv=275 duration="251ms"
2026-09-18T16:02:42.840175Z	info	access	connection complete	src.addr=10.42.0.14:46334 src.workload="l11-k6-ambient-ztunnel-h67q9" src.namespace="capacity-cascade-l11-load" dst.addr=10.42.0.12:8080 dst.service="auth-sim-ambient.capacity-cascade-l11-ambient.svc.cluster.local" dst.workload="auth-sim-ambient-d495ff57-v9p86" dst.namespace="capacity-cascade-l11-ambient" direction="inbound" bytes_sent=322 bytes_recv=275 duration="251ms"
2026-09-18T16:02:42.889585Z	info	access	connection complete	src.addr=10.42.0.14:46340 src.workload="l11-k6-ambient-ztunnel-h67q9" src.namespace="capacity-cascade-l11-load" dst.addr=10.42.0.12:8080 dst.service="auth-sim-ambient.capacity-cascade-l11-ambient.svc.cluster.local" dst.workload="auth-sim-ambient-d495ff57-v9p86" dst.namespace="capacity-cascade-l11-ambient" direction="inbound" bytes_sent=322 bytes_recv=275 duration="251ms"
