2026-09-18T16:06:00.555698Z	info	inpod::statemanager	pod received, starting proxy	uid="c23df473-8c47-4a5e-8158-b3982531b3f4" name="auth-sim-ambient-d495ff57-tx5k5" namespace="capacity-cascade-l11-ambient"
2026-09-18T16:06:05.225665Z	info	access	connection complete	src.addr=10.42.0.13:42024 dst.addr=10.42.0.12:8080 dst.service="auth-sim-ambient.capacity-cascade-l11-ambient.svc.cluster.local" dst.workload="auth-sim-ambient-d495ff57-tx5k5" dst.namespace="capacity-cascade-l11-ambient" direction="inbound" bytes_sent=161 bytes_recv=150 duration="0ms"
2026-09-18T16:06:09.575139Z	info	access	connection complete	src.addr=10.42.0.14:39918 dst.addr=10.42.0.12:8080 dst.service="auth-sim-ambient.capacity-cascade-l11-ambient.svc.cluster.local" dst.workload="auth-sim-ambient-d495ff57-tx5k5" dst.namespace="capacity-cascade-l11-ambient" direction="inbound" bytes_sent=320 bytes_recv=274 duration="251ms"
2026-09-18T16:06:09.624497Z	info	access	connection complete	src.addr=10.42.0.14:39934 dst.addr=10.42.0.12:8080 dst.service="auth-sim-ambient.capacity-cascade-l11-ambient.svc.cluster.local" dst.workload="auth-sim-ambient-d495ff57-tx5k5" dst.namespace="capacity-cascade-l11-ambient" direction="inbound" bytes_sent=320 bytes_recv=274 duration="251ms"
2026-09-18T16:06:09.673664Z	info	access	connection complete	src.addr=10.42.0.14:39942 dst.addr=10.42.0.12:8080 dst.service="auth-sim-ambient.capacity-cascade-l11-ambient.svc.cluster.local" dst.workload="auth-sim-ambient-d495ff57-tx5k5" dst.namespace="capacity-cascade-l11-ambient" direction="inbound" bytes_sent=320 bytes_recv=274 duration="250ms"
2026-09-18T16:06:09.724915Z	info	access	connection complete	src.addr=10.42.0.14:39956 dst.addr=10.42.0.12:8080 dst.service="auth-sim-ambient.capacity-cascade-l11-ambient.svc.cluster.local" dst.workload="auth-sim-ambient-d495ff57-tx5k5" dst.namespace="capacity-cascade-l11-ambient" direction="inbound" bytes_sent=320 bytes_recv=274 duration="251ms"
2026-09-18T16:06:09.775105Z	info	access	connection complete	src.addr=10.42.0.14:39970 dst.addr=10.42.0.12:8080 dst.service="auth-sim-ambient.capacity-cascade-l11-ambient.svc.cluster.local" dst.workload="auth-sim-ambient-d495ff57-tx5k5" dst.namespace="capacity-cascade-l11-ambient" direction="inbound" bytes_sent=320 bytes_recv=274 duration="251ms"
2026-09-18T16:06:09.824428Z	info	access	connection complete	src.addr=10.42.0.14:39976 dst.addr=10.42.0.12:8080 dst.service="auth-sim-ambient.capacity-cascade-l11-ambient.svc.cluster.local" dst.workload="auth-sim-ambient-d495ff57-tx5k5" dst.namespace="capacity-cascade-l11-ambient" direction="inbound" bytes_sent=320 bytes_recv=274 duration="251ms"
2026-09-18T16:06:09.873475Z	info	access	connection complete	src.addr=10.42.0.14:39992 dst.addr=10.42.0.12:8080 dst.service="auth-sim-ambient.capacity-cascade-l11-ambient.svc.cluster.local" dst.workload="auth-sim-ambient-d495ff57-tx5k5" dst.namespace="capacity-cascade-l11-ambient" direction="inbound" bytes_sent=320 bytes_recv=274 duration="250ms"
2026-09-18T16:06:09.924793Z	info	access	connection complete	src.addr=10.42.0.14:39998 dst.addr=10.42.0.12:8080 dst.service="auth-sim-ambient.capacity-cascade-l11-ambient.svc.cluster.local" dst.workload="auth-sim-ambient-d495ff57-tx5k5" dst.namespace="capacity-cascade-l11-ambient" direction="inbound" bytes_sent=320 bytes_recv=274 duration="251ms"
2026-09-18T16:06:09.974096Z	info	access	connection complete	src.addr=10.42.0.14:40014 dst.addr=10.42.0.12:8080 dst.service="auth-sim-ambient.capacity-cascade-l11-ambient.svc.cluster.local" dst.workload="auth-sim-ambient-d495ff57-tx5k5" dst.namespace="capacity-cascade-l11-ambient" direction="inbound" bytes_sent=320 bytes_recv=274 duration="250ms"
2026-09-18T16:06:10.024493Z	info	access	connection complete	src.addr=10.42.0.14:40020 dst.addr=10.42.0.12:8080 dst.service="auth-sim-ambient.capacity-cascade-l11-ambient.svc.cluster.local" dst.workload="auth-sim-ambient-d495ff57-tx5k5" dst.namespace="capacity-cascade-l11-ambient" direction="inbound" bytes_sent=320 bytes_recv=274 duration="250ms"
2026-09-18T16:06:10.073760Z	info	access	connection complete	src.addr=10.42.0.14:40022 dst.addr=10.42.0.12:8080 dst.service="auth-sim-ambient.capacity-cascade-l11-ambient.svc.cluster.local" dst.workload="auth-sim-ambient-d495ff57-tx5k5" dst.namespace="capacity-cascade-l11-ambient" direction="inbound" bytes_sent=322 bytes_recv=275 duration="250ms"
2026-09-18T16:06:10.123999Z	info	access	connection complete	src.addr=10.42.0.14:40028 dst.addr=10.42.0.12:8080 dst.service="auth-sim-ambient.capacity-cascade-l11-ambient.svc.cluster.local" dst.workload="auth-sim-ambient-d495ff57-tx5k5" dst.namespace="capacity-cascade-l11-ambient" direction="inbound" bytes_sent=322 bytes_recv=275 duration="250ms"
2026-09-18T16:06:10.174257Z	info	access	connection complete	src.addr=10.42.0.14:40030 dst.addr=10.42.0.12:8080 dst.service="auth-sim-ambient.capacity-cascade-l11-ambient.svc.cluster.local" dst.workload="auth-sim-ambient-d495ff57-tx5k5" dst.namespace="capacity-cascade-l11-ambient" direction="inbound" bytes_sent=322 bytes_recv=275 duration="251ms"
2026-09-18T16:06:10.224621Z	info	access	connection complete	src.addr=10.42.0.14:40042 dst.addr=10.42.0.12:8080 dst.service="auth-sim-ambient.capacity-cascade-l11-ambient.svc.cluster.local" dst.workload="auth-sim-ambient-d495ff57-tx5k5" dst.namespace="capacity-cascade-l11-ambient" direction="inbound" bytes_sent=322 bytes_recv=275 duration="250ms"
2026-09-18T16:06:10.273924Z	info	access	connection complete	src.addr=10.42.0.14:40058 src.workload="l11-k6-ambient-ztunnel-r4bv2" src.namespace="capacity-cascade-l11-load" dst.addr=10.42.0.12:8080 dst.service="auth-sim-ambient.capacity-cascade-l11-ambient.svc.cluster.local" dst.workload="auth-sim-ambient-d495ff57-tx5k5" dst.namespace="capacity-cascade-l11-ambient" direction="inbound" bytes_sent=322 bytes_recv=275 duration="251ms"
2026-09-18T16:06:10.324123Z	info	access	connection complete	src.addr=10.42.0.14:40072 src.workload="l11-k6-ambient-ztunnel-r4bv2" src.namespace="capacity-cascade-l11-load" dst.addr=10.42.0.12:8080 dst.service="auth-sim-ambient.capacity-cascade-l11-ambient.svc.cluster.local" dst.workload="auth-sim-ambient-d495ff57-tx5k5" dst.namespace="capacity-cascade-l11-ambient" direction="inbound" bytes_sent=322 bytes_recv=275 duration="250ms"
